Lemma,training_acc,test_acc
keep.v,0.993570722057369,0.5389177168272795
national.a,0.9987569919204475,0.2886405959031657
build.v,0.997327632282202,0.2403846153846154
place.n,0.9979281767955801,0.432712215320911
position.n,1.0,0.3435251798561151
serve.v,1.0,0.2849604221635884
hold.v,0.9957337883959044,0.2749360613810742
line.n,0.9990379990379991,0.855803893294881
see.v,0.9818478482561697,0.6238532110091743
time.n,1.0,0.288135593220339
physical.a,0.9964813511611541,0.36075949367088606
follow.v,0.9975728155339806,0.3187878787878788
regular.a,1.0,0.3623481781376518
bad.a,0.9992301770592764,0.6397228637413395
force.n,0.9961240310077519,0.3251088534107402
professional.a,0.9946773120425815,0.32934131736526945
security.n,1.0,0.4214417744916821
positive.a,1.0,0.4144736842105263
point.n,0.99860529986053,0.49478079331941544
common.a,1.0,0.3669724770642202
find.v,0.9972206781545303,0.315
life.n,0.9894080996884735,0.40111940298507465
order.n,1.0,0.40119760479041916
bring.v,0.9994652406417113,0.2419871794871795
active.a,1.0,0.43452380952380953
extend.v,1.0,0.4257748776508972
case.n,0.9960384833050367,0.2461799660441426
lead.v,0.9973835688121402,0.22727272727272727
critical.a,1.0,0.33418367346938777
major.a,1.0,0.3103448275862069
