Lemma,training_acc,test_acc
keep.v,0.7198318496538081,0.6827279466271312
national.a,0.7315102548166563,0.5921787709497207
build.v,0.5093532870122929,0.3942307692307692
place.n,0.7790055248618785,0.6811594202898551
position.n,0.6252252252252253,0.460431654676259
serve.v,0.6606514084507042,0.5897097625329816
hold.v,0.5755119453924915,0.4948849104859335
line.n,0.9595959595959596,0.9379956741167988
see.v,0.7489292270038752,0.7321100917431193
time.n,0.7603773584905661,0.655367231638418
physical.a,0.717100633356791,0.5590717299578059
follow.v,0.6266181229773463,0.583030303030303
regular.a,0.6574324324324324,0.5546558704453441
bad.a,0.844495765973826,0.7413394919168591
force.n,0.8217054263565892,0.7503628447024674
professional.a,0.8030605455755156,0.7105788423153693
security.n,0.8453481207640172,0.7412199630314233
positive.a,0.756578947368421,0.569078947368421
point.n,0.8186889818688982,0.6805845511482255
common.a,0.676605504587156,0.5412844036697247
find.v,0.6831573096164536,0.575
life.n,0.7451713395638629,0.6380597014925373
order.n,0.7677977378576181,0.6407185628742516
bring.v,0.6155080213903743,0.5048076923076923
active.a,0.8031809145129225,0.7083333333333334
extend.v,0.6334964654703643,0.5481239804241436
case.n,0.5721561969439728,0.44142614601018676
lead.v,0.564625850340136,0.42946708463949845
critical.a,0.7285106382978723,0.6096938775510204
major.a,0.6557522123893805,0.4562334217506631
